epci2020,Nom du groupement,dernier_jour,age_0,age_65,alerte_max_0,alerte_max_65
246700488,Eurométropole de Strasbourg,2020-10-21,409.2,187.6,250,100
246700488,Eurométropole de Strasbourg,2020-10-22,467.1,223.2,250,100
246700488,Eurométropole de Strasbourg,2020-10-23,525.1,271.3,250,100
246700488,Eurométropole de Strasbourg,2020-10-24,570.6,297.6,250,100
246700488,Eurométropole de Strasbourg,2020-10-25,577.1,303.3,250,100
246700488,Eurométropole de Strasbourg,2020-10-26,635,375.7,250,100
246700488,Eurométropole de Strasbourg,2020-10-27,674.1,438,250,100
246700488,Eurométropole de Strasbourg,2020-10-28,706.9,460,250,100
246700488,Eurométropole de Strasbourg,2020-10-29,711.8,489.8,250,100
246700488,Eurométropole de Strasbourg,2020-10-30,726,509.4,250,100
246700488,Eurométropole de Strasbourg,2020-10-31,722.3,525.2,250,100
246700488,Eurométropole de Strasbourg,2020-11-01,724.9,525.6,250,100
246700488,Eurométropole de Strasbourg,2020-11-02,734.7,508,250,100
246700488,Eurométropole de Strasbourg,2020-11-03,726.3,493.6,250,100
246700488,Eurométropole de Strasbourg,2020-11-04,707.5,511.9,250,100
246700488,Eurométropole de Strasbourg,2020-11-05,681.9,502.7,250,100
246700488,Eurométropole de Strasbourg,2020-11-06,634.8,467,250,100
246700488,Eurométropole de Strasbourg,2020-11-07,604.1,443.6,250,100
246700488,Eurométropole de Strasbourg,2020-11-08,595.8,439,250,100
246700488,Eurométropole de Strasbourg,2020-11-09,514.3,411.1,250,100
246700488,Eurométropole de Strasbourg,2020-11-10,444.1,370.6,250,100
246700488,Eurométropole de Strasbourg,2020-11-11,341.9,287.5,250,100
246700488,Eurométropole de Strasbourg,2020-11-12,311.6,264.8,250,100
