epci2020,Nom du groupement,dernier_jour,age_0,age_65,alerte_max_0,alerte_max_65
244200770,Saint-Etienne Métropole,2020-10-21,982.9,930.7,250,100
244200770,Saint-Etienne Métropole,2020-10-22,1051,1056.8,250,100
244200770,Saint-Etienne Métropole,2020-10-23,1120.4,1155.9,250,100
244200770,Saint-Etienne Métropole,2020-10-24,1136.9,1156.9,250,100
244200770,Saint-Etienne Métropole,2020-10-25,1159.2,1196,250,100
244200770,Saint-Etienne Métropole,2020-10-26,1206.5,1264.1,250,100
244200770,Saint-Etienne Métropole,2020-10-27,1259.3,1302.1,250,100
244200770,Saint-Etienne Métropole,2020-10-28,1254.5,1295.2,250,100
244200770,Saint-Etienne Métropole,2020-10-29,1243.6,1274.2,250,100
244200770,Saint-Etienne Métropole,2020-10-30,1207,1211.3,250,100
244200770,Saint-Etienne Métropole,2020-10-31,1195.2,1204.3,250,100
244200770,Saint-Etienne Métropole,2020-11-01,1181.6,1182.2,250,100
244200770,Saint-Etienne Métropole,2020-11-02,1147.5,1149.8,250,100
244200770,Saint-Etienne Métropole,2020-11-03,1096.1,1134.9,250,100
244200770,Saint-Etienne Métropole,2020-11-04,1067.5,1117.4,250,100
244200770,Saint-Etienne Métropole,2020-11-05,1015.4,1054.3,250,100
244200770,Saint-Etienne Métropole,2020-11-06,954.3,1013.5,250,100
244200770,Saint-Etienne Métropole,2020-11-07,922.4,989.8,250,100
244200770,Saint-Etienne Métropole,2020-11-08,909.2,979.3,250,100
244200770,Saint-Etienne Métropole,2020-11-09,851.5,948.9,250,100
244200770,Saint-Etienne Métropole,2020-11-10,763.9,843.1,250,100
244200770,Saint-Etienne Métropole,2020-11-11,625,687.7,250,100
244200770,Saint-Etienne Métropole,2020-11-12,594,632.7,250,100
