epci2020,Nom du groupement,dernier_jour,age_0,age_65,alerte_max_0,alerte_max_65
200023414,Métropole Rouen Normandie,2020-10-21,323.5,259,250,100
200023414,Métropole Rouen Normandie,2020-10-22,349,290.2,250,100
200023414,Métropole Rouen Normandie,2020-10-23,358,295.8,250,100
200023414,Métropole Rouen Normandie,2020-10-24,368.2,306.9,250,100
200023414,Métropole Rouen Normandie,2020-10-25,378.5,330,250,100
200023414,Métropole Rouen Normandie,2020-10-26,422.1,386.7,250,100
200023414,Métropole Rouen Normandie,2020-10-27,439,405.3,250,100
200023414,Métropole Rouen Normandie,2020-10-28,457.7,416.5,250,100
200023414,Métropole Rouen Normandie,2020-10-29,454.6,433.9,250,100
200023414,Métropole Rouen Normandie,2020-10-30,457.3,453.4,250,100
200023414,Métropole Rouen Normandie,2020-10-31,459.9,461.3,250,100
200023414,Métropole Rouen Normandie,2020-11-01,451.8,440.9,250,100
200023414,Métropole Rouen Normandie,2020-11-02,442.9,420.9,250,100
200023414,Métropole Rouen Normandie,2020-11-03,448.4,420.2,250,100
200023414,Métropole Rouen Normandie,2020-11-04,429,417.7,250,100
200023414,Métropole Rouen Normandie,2020-11-05,421.9,387.3,250,100
200023414,Métropole Rouen Normandie,2020-11-06,409.9,400.8,250,100
200023414,Métropole Rouen Normandie,2020-11-07,395.1,381.4,250,100
200023414,Métropole Rouen Normandie,2020-11-08,393,377.4,250,100
200023414,Métropole Rouen Normandie,2020-11-09,345.7,343.4,250,100
200023414,Métropole Rouen Normandie,2020-11-10,310.2,350.5,250,100
200023414,Métropole Rouen Normandie,2020-11-11,256.3,293.4,250,100
200023414,Métropole Rouen Normandie,2020-11-12,233.9,291,250,100
