epci2020,Nom du groupement,dernier_jour,age_0,age_65,alerte_max_0,alerte_max_65
242100410,Dijon Métropole,2020-10-21,340.1,212.5,250,100
242100410,Dijon Métropole,2020-10-22,378.7,230.7,250,100
242100410,Dijon Métropole,2020-10-23,417.7,272,250,100
242100410,Dijon Métropole,2020-10-24,432.9,273.7,250,100
242100410,Dijon Métropole,2020-10-25,448.2,293.1,250,100
242100410,Dijon Métropole,2020-10-26,514.3,341,250,100
242100410,Dijon Métropole,2020-10-27,580.7,454,250,100
242100410,Dijon Métropole,2020-10-28,581.2,484.9,250,100
242100410,Dijon Métropole,2020-10-29,598.4,489,250,100
242100410,Dijon Métropole,2020-10-30,599.5,480.1,250,100
242100410,Dijon Métropole,2020-10-31,617.7,501.9,250,100
242100410,Dijon Métropole,2020-11-01,615.5,511.4,250,100
242100410,Dijon Métropole,2020-11-02,646.5,530.2,250,100
242100410,Dijon Métropole,2020-11-03,650.5,534.9,250,100
242100410,Dijon Métropole,2020-11-04,663.3,557,250,100
242100410,Dijon Métropole,2020-11-05,667.6,624.7,250,100
242100410,Dijon Métropole,2020-11-06,675.1,675.7,250,100
242100410,Dijon Métropole,2020-11-07,647.8,662.8,250,100
242100410,Dijon Métropole,2020-11-08,639.3,641.4,250,100
242100410,Dijon Métropole,2020-11-09,566.9,593.7,250,100
242100410,Dijon Métropole,2020-11-10,512.8,554.7,250,100
242100410,Dijon Métropole,2020-11-11,436.5,476,250,100
242100410,Dijon Métropole,2020-11-12,405,434.9,250,100
