epci2020,Nom du groupement,dernier_jour,age_0,age_65,alerte_max_0,alerte_max_65
200030195,Métropole Nice Côte d'Azur,2020-10-21,171.8,131.2,250,100
200030195,Métropole Nice Côte d'Azur,2020-10-22,192.2,151.1,250,100
200030195,Métropole Nice Côte d'Azur,2020-10-23,215.5,179.7,250,100
200030195,Métropole Nice Côte d'Azur,2020-10-24,220.1,177,250,100
200030195,Métropole Nice Côte d'Azur,2020-10-25,223,179.3,250,100
200030195,Métropole Nice Côte d'Azur,2020-10-26,253.8,207.8,250,100
200030195,Métropole Nice Côte d'Azur,2020-10-27,284,224.4,250,100
200030195,Métropole Nice Côte d'Azur,2020-10-28,294.5,250.1,250,100
200030195,Métropole Nice Côte d'Azur,2020-10-29,311.7,250.2,250,100
200030195,Métropole Nice Côte d'Azur,2020-10-30,322.7,254.7,250,100
200030195,Métropole Nice Côte d'Azur,2020-10-31,329.9,262.6,250,100
200030195,Métropole Nice Côte d'Azur,2020-11-01,333,264.9,250,100
200030195,Métropole Nice Côte d'Azur,2020-11-02,338.8,263.4,250,100
200030195,Métropole Nice Côte d'Azur,2020-11-03,354.3,292.1,250,100
200030195,Métropole Nice Côte d'Azur,2020-11-04,371.1,293.9,250,100
200030195,Métropole Nice Côte d'Azur,2020-11-05,373,316.4,250,100
200030195,Métropole Nice Côte d'Azur,2020-11-06,374.2,307.7,250,100
200030195,Métropole Nice Côte d'Azur,2020-11-07,370.5,299.8,250,100
200030195,Métropole Nice Côte d'Azur,2020-11-08,366.4,297.3,250,100
200030195,Métropole Nice Côte d'Azur,2020-11-09,366.2,320.4,250,100
200030195,Métropole Nice Côte d'Azur,2020-11-10,343.5,295.8,250,100
200030195,Métropole Nice Côte d'Azur,2020-11-11,281.6,252.8,250,100
200030195,Métropole Nice Côte d'Azur,2020-11-12,266.4,238.4,250,100
