epci2020,Nom du groupement,dernier_jour,age_0,age_65,alerte_max_0,alerte_max_65
200046977,Métropole de Lyon,2020-10-21,722.9,610.4,250,100
200046977,Métropole de Lyon,2020-10-22,765.1,638.6,250,100
200046977,Métropole de Lyon,2020-10-23,797.6,659.4,250,100
200046977,Métropole de Lyon,2020-10-24,834.9,695.7,250,100
200046977,Métropole de Lyon,2020-10-25,838.5,700.2,250,100
200046977,Métropole de Lyon,2020-10-26,868.2,721.7,250,100
200046977,Métropole de Lyon,2020-10-27,891.7,756.1,250,100
200046977,Métropole de Lyon,2020-10-28,889.7,747.8,250,100
200046977,Métropole de Lyon,2020-10-29,874.6,769.3,250,100
200046977,Métropole de Lyon,2020-10-30,873.4,782.2,250,100
200046977,Métropole de Lyon,2020-10-31,873.2,779.2,250,100
200046977,Métropole de Lyon,2020-11-01,873.3,781.9,250,100
200046977,Métropole de Lyon,2020-11-02,884.4,814.7,250,100
200046977,Métropole de Lyon,2020-11-03,889.4,829.5,250,100
200046977,Métropole de Lyon,2020-11-04,890,839.4,250,100
200046977,Métropole de Lyon,2020-11-05,873.8,804.3,250,100
200046977,Métropole de Lyon,2020-11-06,852.9,810.9,250,100
200046977,Métropole de Lyon,2020-11-07,830,791.3,250,100
200046977,Métropole de Lyon,2020-11-08,826.6,787.5,250,100
200046977,Métropole de Lyon,2020-11-09,762,731.2,250,100
200046977,Métropole de Lyon,2020-11-10,663.4,650.7,250,100
200046977,Métropole de Lyon,2020-11-11,527.8,541.6,250,100
200046977,Métropole de Lyon,2020-11-12,465.6,497.5,250,100
