epci2020,Nom du groupement,dernier_jour,age_0,age_65,alerte_max_0,alerte_max_65
200093201,Métropole Européenne de Lille,2020-10-21,811.9,723.7,250,100
200093201,Métropole Européenne de Lille,2020-10-22,843.9,769,250,100
200093201,Métropole Européenne de Lille,2020-10-23,889.6,828.1,250,100
200093201,Métropole Européenne de Lille,2020-10-24,925.6,859.8,250,100
200093201,Métropole Européenne de Lille,2020-10-25,944.2,873.7,250,100
200093201,Métropole Européenne de Lille,2020-10-26,988.6,917.3,250,100
200093201,Métropole Européenne de Lille,2020-10-27,997,917.3,250,100
200093201,Métropole Européenne de Lille,2020-10-28,974.9,915.7,250,100
200093201,Métropole Européenne de Lille,2020-10-29,949.7,883,250,100
200093201,Métropole Européenne de Lille,2020-10-30,921.1,877.5,250,100
200093201,Métropole Européenne de Lille,2020-10-31,894.2,870.5,250,100
200093201,Métropole Européenne de Lille,2020-11-01,874.8,846.7,250,100
200093201,Métropole Européenne de Lille,2020-11-02,828.7,818.5,250,100
200093201,Métropole Européenne de Lille,2020-11-03,798.7,815.3,250,100
200093201,Métropole Européenne de Lille,2020-11-04,748.6,762.5,250,100
200093201,Métropole Européenne de Lille,2020-11-05,704,743.1,250,100
200093201,Métropole Européenne de Lille,2020-11-06,654.5,696.4,250,100
200093201,Métropole Européenne de Lille,2020-11-07,621.1,661.1,250,100
200093201,Métropole Européenne de Lille,2020-11-08,589.7,653.6,250,100
200093201,Métropole Européenne de Lille,2020-11-09,523.7,613,250,100
200093201,Métropole Européenne de Lille,2020-11-10,470.9,551.3,250,100
200093201,Métropole Européenne de Lille,2020-11-11,402.5,477.6,250,100
200093201,Métropole Européenne de Lille,2020-11-12,368.6,438.7,250,100
