epci2020,Nom du groupement,dernier_jour,age_0,age_65,alerte_max_0,alerte_max_65
243100518,Toulouse Métropole,2020-09-26,260.8,131.6,250,100
243100518,Toulouse Métropole,2020-09-27,258.3,131.6,250,100
243100518,Toulouse Métropole,2020-09-28,239.5,134.9,250,100
243100518,Toulouse Métropole,2020-09-29,224.6,130.1,250,100
243100518,Toulouse Métropole,2020-09-30,217,123.5,250,100
243100518,Toulouse Métropole,2020-10-01,213.6,111.1,250,100
243100518,Toulouse Métropole,2020-10-02,220.1,124.2,250,100
243100518,Toulouse Métropole,2020-10-03,221.3,131.6,250,100
243100518,Toulouse Métropole,2020-10-04,221.6,133.4,250,100
243100518,Toulouse Métropole,2020-10-05,231,124.7,250,100
243100518,Toulouse Métropole,2020-10-06,230,131.8,250,100
243100518,Toulouse Métropole,2020-10-07,239.8,142.1,250,100
243100518,Toulouse Métropole,2020-10-08,248.4,147.9,250,100
243100518,Toulouse Métropole,2020-10-09,257.4,148.7,250,100
243100518,Toulouse Métropole,2020-10-10,260.8,150.4,250,100
243100518,Toulouse Métropole,2020-10-11,269.1,149.1,250,100
243100518,Toulouse Métropole,2020-10-12,283.6,177.9,250,100
243100518,Toulouse Métropole,2020-10-13,305.8,189.9,250,100
243100518,Toulouse Métropole,2020-10-14,308.6,189,250,100
243100518,Toulouse Métropole,2020-10-15,327,199,250,100
243100518,Toulouse Métropole,2020-10-16,341.9,206,250,100
243100518,Toulouse Métropole,2020-10-17,350.6,210.9,250,100
243100518,Toulouse Métropole,2020-10-18,352.2,213,250,100
