epci2020,Nom du groupement,dernier_jour,age_0,age_65,alerte_max_0,alerte_max_65
244500468,Orléans Métropole,2020-10-21,312.5,240.3,250,100
244500468,Orléans Métropole,2020-10-22,344.5,276.5,250,100
244500468,Orléans Métropole,2020-10-23,385.9,309.2,250,100
244500468,Orléans Métropole,2020-10-24,405.5,318.5,250,100
244500468,Orléans Métropole,2020-10-25,427,338,250,100
244500468,Orléans Métropole,2020-10-26,480.7,418.3,250,100
244500468,Orléans Métropole,2020-10-27,517.3,446.8,250,100
244500468,Orléans Métropole,2020-10-28,523.1,441.1,250,100
244500468,Orléans Métropole,2020-10-29,534.1,470.4,250,100
244500468,Orléans Métropole,2020-10-30,543.3,479.5,250,100
244500468,Orléans Métropole,2020-10-31,545.1,486.3,250,100
244500468,Orléans Métropole,2020-11-01,509.3,479.1,250,100
244500468,Orléans Métropole,2020-11-02,535,436.9,250,100
244500468,Orléans Métropole,2020-11-03,540.8,434.7,250,100
244500468,Orléans Métropole,2020-11-04,556,431.9,250,100
244500468,Orléans Métropole,2020-11-05,546.3,407.6,250,100
244500468,Orléans Métropole,2020-11-06,516.6,410.3,250,100
244500468,Orléans Métropole,2020-11-07,506.5,422.8,250,100
244500468,Orléans Métropole,2020-11-08,514.2,425.9,250,100
244500468,Orléans Métropole,2020-11-09,466.5,409.4,250,100
244500468,Orléans Métropole,2020-11-10,454.8,444.2,250,100
244500468,Orléans Métropole,2020-11-11,379.1,415.7,250,100
244500468,Orléans Métropole,2020-11-12,351,389.9,250,100
