epci2020,Nom du groupement,dernier_jour,age_0,age_65,alerte_max_0,alerte_max_65
243500139,Rennes Métropole,2020-10-21,195.3,112.5,250,100
243500139,Rennes Métropole,2020-10-22,208,121.2,250,100
243500139,Rennes Métropole,2020-10-23,226.3,131.6,250,100
243500139,Rennes Métropole,2020-10-24,233.9,133.3,250,100
243500139,Rennes Métropole,2020-10-25,235.2,139.3,250,100
243500139,Rennes Métropole,2020-10-26,254.4,159.8,250,100
243500139,Rennes Métropole,2020-10-27,275.1,172.3,250,100
243500139,Rennes Métropole,2020-10-28,291.5,187.6,250,100
243500139,Rennes Métropole,2020-10-29,302.2,213.9,250,100
243500139,Rennes Métropole,2020-10-30,313.8,242.8,250,100
243500139,Rennes Métropole,2020-10-31,310.4,242.5,250,100
243500139,Rennes Métropole,2020-11-01,312.4,245.6,250,100
243500139,Rennes Métropole,2020-11-02,322.9,252,250,100
243500139,Rennes Métropole,2020-11-03,324.2,299.8,250,100
243500139,Rennes Métropole,2020-11-04,313.1,311.6,250,100
243500139,Rennes Métropole,2020-11-05,291.5,304.1,250,100
243500139,Rennes Métropole,2020-11-06,270.6,296.1,250,100
243500139,Rennes Métropole,2020-11-07,270.8,297.1,250,100
243500139,Rennes Métropole,2020-11-08,265.7,295.2,250,100
243500139,Rennes Métropole,2020-11-09,237.5,301.7,250,100
243500139,Rennes Métropole,2020-11-10,206.7,262.3,250,100
243500139,Rennes Métropole,2020-11-11,171,217.6,250,100
243500139,Rennes Métropole,2020-11-12,164.7,198.3,250,100
