epci2020,Nom du groupement,dernier_jour,age_0,age_65,alerte_max_0,alerte_max_65
200054807,Métropole d'Aix-Marseille-Provence,2020-10-03,197.7,137.8,250,100
200054807,Métropole d'Aix-Marseille-Provence,2020-10-04,197.8,138.5,250,100
200054807,Métropole d'Aix-Marseille-Provence,2020-10-05,210.6,146.7,250,100
200054807,Métropole d'Aix-Marseille-Provence,2020-10-06,218.6,163.1,250,100
200054807,Métropole d'Aix-Marseille-Provence,2020-10-07,223,169.3,250,100
200054807,Métropole d'Aix-Marseille-Provence,2020-10-08,226.7,166.8,250,100
200054807,Métropole d'Aix-Marseille-Provence,2020-10-09,235,177.7,250,100
200054807,Métropole d'Aix-Marseille-Provence,2020-10-10,238,180.5,250,100
200054807,Métropole d'Aix-Marseille-Provence,2020-10-11,238.7,179.5,250,100
200054807,Métropole d'Aix-Marseille-Provence,2020-10-12,248.5,186.1,250,100
200054807,Métropole d'Aix-Marseille-Provence,2020-10-13,263.7,192.3,250,100
200054807,Métropole d'Aix-Marseille-Provence,2020-10-14,278.5,204.6,250,100
200054807,Métropole d'Aix-Marseille-Provence,2020-10-15,299.5,240.5,250,100
200054807,Métropole d'Aix-Marseille-Provence,2020-10-16,318.2,253.7,250,100
200054807,Métropole d'Aix-Marseille-Provence,2020-10-17,325.2,260.3,250,100
200054807,Métropole d'Aix-Marseille-Provence,2020-10-18,328.1,265.9,250,100
200054807,Métropole d'Aix-Marseille-Provence,2020-10-19,372.7,328.6,250,100
200054807,Métropole d'Aix-Marseille-Provence,2020-10-20,416.8,396.5,250,100
200054807,Métropole d'Aix-Marseille-Provence,2020-10-21,460,450.7,250,100
200054807,Métropole d'Aix-Marseille-Provence,2020-10-22,504.1,490.4,250,100
200054807,Métropole d'Aix-Marseille-Provence,2020-10-23,536,537.8,250,100
200054807,Métropole d'Aix-Marseille-Provence,2020-10-24,545.9,553.2,250,100
200054807,Métropole d'Aix-Marseille-Provence,2020-10-25,546.9,555.3,250,100
