epci2020,Nom du groupement,dernier_jour,age_0,age_65,alerte_max_0,alerte_max_65
200054781,Métropole du Grand Paris,2020-10-04,244.1,118.7,250,100
200054781,Métropole du Grand Paris,2020-10-05,269.2,132.3,250,100
200054781,Métropole du Grand Paris,2020-10-06,289.8,143,250,100
200054781,Métropole du Grand Paris,2020-10-07,310,152.8,250,100
200054781,Métropole du Grand Paris,2020-10-08,331.2,166.1,250,100
200054781,Métropole du Grand Paris,2020-10-09,346.8,180,250,100
200054781,Métropole du Grand Paris,2020-10-10,350.9,181.6,250,100
200054781,Métropole du Grand Paris,2020-10-11,352.6,183.5,250,100
200054781,Métropole du Grand Paris,2020-10-12,366.5,195.2,250,100
200054781,Métropole du Grand Paris,2020-10-13,374.8,208.9,250,100
200054781,Métropole du Grand Paris,2020-10-14,378.6,219.1,250,100
200054781,Métropole du Grand Paris,2020-10-15,380.7,227.6,250,100
200054781,Métropole du Grand Paris,2020-10-16,386.7,236,250,100
200054781,Métropole du Grand Paris,2020-10-17,391.6,242.2,250,100
200054781,Métropole du Grand Paris,2020-10-18,392.4,243,250,100
200054781,Métropole du Grand Paris,2020-10-19,401.9,256.6,250,100
200054781,Métropole du Grand Paris,2020-10-20,418.8,269.2,250,100
200054781,Métropole du Grand Paris,2020-10-21,437.6,291.7,250,100
200054781,Métropole du Grand Paris,2020-10-22,457.1,311.2,250,100
200054781,Métropole du Grand Paris,2020-10-23,475.9,326.1,250,100
200054781,Métropole du Grand Paris,2020-10-24,482.3,332.6,250,100
200054781,Métropole du Grand Paris,2020-10-25,483.5,335,250,100
200054781,Métropole du Grand Paris,2020-10-26,494.8,345.4,250,100
