epci2020,Nom du groupement,dernier_jour,age_0,age_65,alerte_max_0,alerte_max_65
242900314,Brest Métropole,2020-10-04,65.4,25.7,250,100
242900314,Brest Métropole,2020-10-05,68.7,34.2,250,100
242900314,Brest Métropole,2020-10-06,77.5,34.7,250,100
242900314,Brest Métropole,2020-10-07,74.9,34.7,250,100
242900314,Brest Métropole,2020-10-08,79.9,34.7,250,100
242900314,Brest Métropole,2020-10-09,88.4,34.7,250,100
242900314,Brest Métropole,2020-10-10,87.9,32.2,250,100
242900314,Brest Métropole,2020-10-11,83.2,29.6,250,100
242900314,Brest Métropole,2020-10-12,95.4,23.7,250,100
242900314,Brest Métropole,2020-10-13,91.7,18.2,250,100
242900314,Brest Métropole,2020-10-14,102.7,30.8,250,100
242900314,Brest Métropole,2020-10-15,109.1,36.3,250,100
242900314,Brest Métropole,2020-10-16,110.3,33.8,250,100
242900314,Brest Métropole,2020-10-17,105.5,36.3,250,100
242900314,Brest Métropole,2020-10-18,114.5,38.8,250,100
242900314,Brest Métropole,2020-10-19,112.3,46.4,250,100
242900314,Brest Métropole,2020-10-20,130.1,55.8,250,100
242900314,Brest Métropole,2020-10-21,139.1,45.7,250,100
242900314,Brest Métropole,2020-10-22,147.5,50.3,250,100
242900314,Brest Métropole,2020-10-23,162.3,54.9,250,100
242900314,Brest Métropole,2020-10-24,169.2,65,250,100
242900314,Brest Métropole,2020-10-25,168.8,62.4,250,100
242900314,Brest Métropole,2020-10-26,173.4,70,250,100
