epci2020,Nom du groupement,dernier_jour,age_0,age_65,alerte_max_0,alerte_max_65
243700754,Tours Métropole Val de Loire,2020-10-21,312.6,188.1,250,100
243700754,Tours Métropole Val de Loire,2020-10-22,354.9,226.7,250,100
243700754,Tours Métropole Val de Loire,2020-10-23,375,248.9,250,100
243700754,Tours Métropole Val de Loire,2020-10-24,391.2,263.1,250,100
243700754,Tours Métropole Val de Loire,2020-10-25,392,267.8,250,100
243700754,Tours Métropole Val de Loire,2020-10-26,417.2,257.5,250,100
243700754,Tours Métropole Val de Loire,2020-10-27,423.9,252.3,250,100
243700754,Tours Métropole Val de Loire,2020-10-28,431.8,260.2,250,100
243700754,Tours Métropole Val de Loire,2020-10-29,425.9,234.3,250,100
243700754,Tours Métropole Val de Loire,2020-10-30,434.3,237.4,250,100
243700754,Tours Métropole Val de Loire,2020-10-31,438.6,231.1,250,100
243700754,Tours Métropole Val de Loire,2020-11-01,442.3,237.4,250,100
243700754,Tours Métropole Val de Loire,2020-11-02,433.8,245.8,250,100
243700754,Tours Métropole Val de Loire,2020-11-03,416.4,266.4,250,100
243700754,Tours Métropole Val de Loire,2020-11-04,415.8,291.2,250,100
243700754,Tours Métropole Val de Loire,2020-11-05,391.3,295.1,250,100
243700754,Tours Métropole Val de Loire,2020-11-06,358.5,287.2,250,100
243700754,Tours Métropole Val de Loire,2020-11-07,337.3,293.6,250,100
243700754,Tours Métropole Val de Loire,2020-11-08,333.3,293.6,250,100
243700754,Tours Métropole Val de Loire,2020-11-09,295.7,255.9,250,100
243700754,Tours Métropole Val de Loire,2020-11-10,266.2,227.9,250,100
243700754,Tours Métropole Val de Loire,2020-11-11,200.3,154.1,250,100
243700754,Tours Métropole Val de Loire,2020-11-12,205.8,214.9,250,100
