jour,taux_incid_glissant
2020-09-02,69.51054678615412
2020-09-03,73.04328935731874
2020-09-04,76.74886960805108
2020-09-05,78.29099890419421
2020-09-06,78.5174758636278
2020-09-07,82.6536603332832
2020-09-08,86.8241143428529
2020-09-09,90.16315951450194
2020-09-10,93.54541410604293
2020-09-11,95.32445022159355
2020-09-12,95.99047127992783
2020-09-13,96.12754943958501
2020-09-14,99.76012067049993
2020-09-15,102.5061538036321
2020-09-16,105.65001159576933
2020-09-17,108.13827818954617
2020-09-18,111.04969910226471
2020-09-19,112.10609491962265
2020-09-20,112.4577301987432
2020-09-21,113.79573223539688
2020-09-22,114.8029587128778
2020-09-23,114.07733845469258
2020-09-24,112.54563901852336
2020-09-25,111.09737846214546
2020-09-26,110.49244658365839
2020-09-27,109.8726149052086
2020-09-28,107.02228317233727
2020-09-29,104.90055165764372
2020-09-30,105.41608473635436
2020-10-01,108.2544966292555
2020-10-02,114.01028935486026
2020-10-03,117.56836158596153
2020-10-04,118.44297984377411
2020-10-05,129.9098658950954
2020-10-06,140.12665872954324
2020-10-07,151.13314096201603
2020-10-08,162.84140377273366
2020-10-09,174.4870874236078
2020-10-10,180.5170364685269
2020-10-11,182.31544232402908
2020-10-12,196.89638656756213
2020-10-13,209.48075761608862
2020-10-14,220.85228494764846
2020-10-15,234.08926723454275
2020-10-16,247.36498900134015
2020-10-17,253.01797310720207
2020-10-18,255.16503428183228
2020-10-19,274.6197030931761
2020-10-20,297.22865955663116
2020-10-21,322.8607854325252
2020-10-22,349.48821794593
2020-10-23,377.6443699355114
2020-10-24,389.17681510666876
2020-10-25,392.0778061594134
