epci2020,Nom du groupement,dernier_jour,age_0,age_65,alerte_max_0,alerte_max_65
244400404,Nantes Métropole,2020-10-21,287,198.9,250,100
244400404,Nantes Métropole,2020-10-22,309.9,209,250,100
244400404,Nantes Métropole,2020-10-23,327.7,220.1,250,100
244400404,Nantes Métropole,2020-10-24,339.9,233.1,250,100
244400404,Nantes Métropole,2020-10-25,344.9,241.9,250,100
244400404,Nantes Métropole,2020-10-26,361.6,289.3,250,100
244400404,Nantes Métropole,2020-10-27,381,339,250,100
244400404,Nantes Métropole,2020-10-28,392.9,353.3,250,100
244400404,Nantes Métropole,2020-10-29,393.6,351.5,250,100
244400404,Nantes Métropole,2020-10-30,401.4,388.6,250,100
244400404,Nantes Métropole,2020-10-31,404.5,390.5,250,100
244400404,Nantes Métropole,2020-11-01,404.6,386.3,250,100
244400404,Nantes Métropole,2020-11-02,403.8,349.4,250,100
244400404,Nantes Métropole,2020-11-03,402.9,345.7,250,100
244400404,Nantes Métropole,2020-11-04,391.9,321.3,250,100
244400404,Nantes Métropole,2020-11-05,384.4,328.1,250,100
244400404,Nantes Métropole,2020-11-06,369.5,300.4,250,100
244400404,Nantes Métropole,2020-11-07,356.6,285.4,250,100
244400404,Nantes Métropole,2020-11-08,356.6,280.3,250,100
244400404,Nantes Métropole,2020-11-09,335.8,283.5,250,100
244400404,Nantes Métropole,2020-11-10,303.5,262.5,250,100
244400404,Nantes Métropole,2020-11-11,252.8,235.6,250,100
244400404,Nantes Métropole,2020-11-12,226.3,211.9,250,100
